         4040070 function calls (4012306 primitive calls) in 8.867 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       13    0.000    0.000    0.034    0.003 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\dtypes\astype.py:191(astype_array_safe)
       15    0.000    0.000    0.033    0.002 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\dtypes\astype.py:157(astype_array)
       36    0.000    0.000    0.033    0.001 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\frame.py:12675(_reindex_for_setitem)
        6    0.000    0.000    0.033    0.005 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\graph_objs\layout\_template.py:250(__init__)
        2    0.014    0.007    0.032    0.016 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\array_algos\replace.py:45(compare_or_regex_search)
        9    0.029    0.003    0.031    0.003 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\dtypes\astype.py:56(_astype_nansafe)
   178/24    0.001    0.000    0.031    0.001 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\_plotly_utils\basevalidators.py:2479(validate_coerce)
      215    0.002    0.000    0.028    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\construction.py:517(sanitize_array)
       12    0.000    0.000    0.027    0.002 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\algorithms.py:262(_get_hashtable_algo)
       12    0.027    0.002    0.027    0.002 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\algorithms.py:280(_check_object_for_strings)
       23    0.000    0.000    0.026    0.001 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\series.py:6133(_arith_method)
       23    0.000    0.000    0.025    0.001 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\base.py:1371(_arith_method)
        5    0.000    0.000    0.025    0.005 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\basedatatypes.py:5597(to_plotly_json)
4263/4241    0.002    0.000    0.025    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\basedatatypes.py:4916(__setattr__)
        2    0.001    0.000    0.025    0.012 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\io\_html.py:25(to_html)
      428    0.025    0.000    0.025    0.000 {built-in method numpy.empty}
       24    0.000    0.000    0.025    0.001 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\indexing.py:882(__setitem__)
       29    0.000    0.000    0.024    0.001 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\ops\array_ops.py:189(_na_arithmetic_op)
       29    0.000    0.000    0.024    0.001 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\computation\expressions.py:226(evaluate)
       29    0.000    0.000    0.024    0.001 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\computation\expressions.py:67(_evaluate_standard)
        1    0.000    0.000    0.023    0.023 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\series.py:5486(isin)
        1    0.023    0.023    0.023    0.023 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\algorithms.py:457(isin)
