         132356 function calls (120601 primitive calls) in 0.384 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      122    0.001    0.000    0.002    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\construction.py:517(sanitize_array)
        1    0.000    0.000    0.002    0.002 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\strings\object_array.py:401(_str_upper)
        7    0.000    0.000    0.002    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\groupby\generic.py:232(aggregate)
        9    0.000    0.000    0.002    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\indexing.py:1946(_setitem_with_indexer_split_path)
        1    0.000    0.000    0.002    0.002 C:\Python311\Lib\pkgutil.py:600(get_data)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap_external>:1127(get_data)
        1    0.000    0.000    0.002    0.002 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\tools\datetimes.py:314(_convert_listlike_datetimes)
        7    0.000    0.000    0.002    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\groupby\groupby.py:1957(_cython_agg_general)
        9    0.000    0.000    0.002    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\_plotly_utils\basevalidators.py:1595(validate_coerce)
       70    0.000    0.000    0.002    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\frame.py:3983(_ixs)
        1    0.002    0.002    0.002    0.002 {method 'read' of '_io.BufferedReader' objects}
       37    0.000    0.000    0.002    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\basedatatypes.py:49(_str_to_dict_path_full)
       12    0.000    0.000    0.002    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\internals\base.py:180(fillna)
       35    0.000    0.000    0.002    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\basedatatypes.py:5917(__setattr__)
       29    0.000    0.000    0.002    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\indexes\base.py:475(__new__)
        9    0.000    0.000    0.002    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\indexing.py:2111(_setitem_single_column)
      269    0.000    0.000    0.002    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\_plotly_utils\basevalidators.py:16(fullmatch)
        1    0.000    0.000    0.002    0.002 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\io\_utils.py:6(validate_coerce_fig_to_dict)
        1    0.000    0.000    0.002    0.002 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\basedatatypes.py:3285(to_dict)
        1    0.000    0.000    0.002    0.002 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\basedatatypes.py:2515(_initialize_layout_template)
  372/175    0.000    0.000    0.002    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.002    0.002 {method '__reduce_ex__' of 'object' objects}
        1    0.000    0.000    0.002    0.002 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\basedatatypes.py:4665(__reduce__)
        7    0.000    0.000    0.002    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\internals\base.py:365(grouped_reduce)
        4    0.000    0.000    0.002    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\groupby\groupby.py:1896(_agg_general)
        1    0.000    0.000    0.002    0.002 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\graph_objs\_layout.py:3706(template)
      514    0.000    0.000    0.002    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\basedatatypes.py:1819(_str_to_dict_path)
  595/109    0.001    0.000    0.002    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\basedatatypes.py:5643(_vals_equal)
       19    0.000    0.000    0.002    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\internals\blocks.py:1643(fillna)
        3    0.000    0.000    0.002    0.001 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\groupby\groupby.py:3082(sum)
       21    0.001    0.000    0.002    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\internals\managers.py:1066(iset)
